name,price,original_price,image_url,description,category,brand,predicted_style
木耳邊坑條造型鬆緊腰頭長裙 四色售,330,NT. 590,https://photo.queenshop.com.tw/03021507/03021507-01.jpg,木耳邊坑條造型鬆緊腰頭長裙選用柔軟棉質面料日系感十足的木耳邊造型鬆緊腰頭設計 合適所有身型搭配長版上衣 休閒簡約LOOK!,下身,QueenShop,"['日系', '休閒']"
後排釦開衩綁帶牛仔雙層背心,330,NT. 590,https://photo.queenshop.com.tw/01098843/01098843-99.jpg,後排釦開衩綁帶牛仔雙層背心選用牛仔面料 經典好穿搭有挺度後排釦開衩設計 為造型增添亮點雙層造型 單穿就層次感滿滿內搭透膚上衣 展現個性有型Look!,上衣,QueenShop,"['街頭', '休閒']"
側抽繩透膚細肩罩衫背心 四色售,110,NT. 590,https://photo.queenshop.com.tw/01098432/01098432-01.jpg,側抽繩透膚細肩罩衫背心選用舒適柔軟的親膚面料側抽繩造型 增添整體立體感可調節式肩帶 依照個人喜好做調整內搭木耳邊高領 展現日系穿搭,上衣,QueenShop,"['日系', '甜美']"
不規則暈染木耳邊透膚高領上衣 五色售,60,NT. 390,https://photo.queenshop.com.tw/01098911/01098911-01.jpg,不規則暈染木耳邊透膚高領上衣選用柔軟透膚面料不規則暈染增添穿搭小巧思有彈性面料 身型包容度高日系穿搭必備的搭配單品!,上衣,QueenShop,"['日系', '優雅']"
率性側刷破寬版牛仔長褲 S/M/L,720,NT. 690,https://photo.queenshop.com.tw/04011802/04011802-99.jpg,率性側刷破寬版牛仔長褲選用帶有挺度又舒適的牛仔面料寬版版型 合適任何身形側刷破設計 為整體造型增添率性氣息搭配連帽上衣 展現日常休閒Look~,下身,QueenShop,"['休閒', '街頭']"
微光澤魚尾後綁帶細肩長洋裝 四色售,370,NT. 690,https://photo.queenshop.com.tw/01087002/01087002-11.jpg,微光澤魚尾後綁帶細肩長洋裝選用舒適柔軟的親膚面料後綁帶設計 增添幾分浪漫感光澤感魚尾設計 優雅又不失性感的迷人風格搭配涼鞋 輕鬆駕馭日常穿搭,連身,QueenShop,"['優雅', '性感']"
格紋袖抽繩綁帶設計寬版襯衫 兩色售,210,NT. 590,https://photo.queenshop.com.tw/01025579/01025579-06.jpg,格紋袖抽繩綁帶設計寬版襯衫選用透氣柔軟純棉面料經典格紋設計 穿上俐落有型袖抽繩綁帶設計 增添穿搭造型度寬版剪裁 合適所有身型!,上衣,QueenShop,"['日系', '休閒']"
簡約坑條造型落地褲 四色售,400,NT. 490,https://photo.queenshop.com.tw/04101713/04101713-01.jpg,簡約坑條造型落地褲選用精緻柔軟坑條面料素面百搭簡約單品坑條面料更修飾腿型腰彈性穿脫更自在整體增添長腿比例的視覺感受!,下身,QueenShop,['簡約']
素面平口附Bra細肩背心 四色售S/M,100,NT. 290,https://photo.queenshop.com.tw/01041910/01041910-01.jpg,素面平口附Bra細肩背心選用柔軟棉質面料貼心附Bra設計 穿搭更便利有彈性面料 穿上舒適柔軟是一款夏日的必備單品!,上衣,QueenShop,"['簡約', '休閒']"
光澤荷葉邊綁帶細肩罩衫背心 四色售,60,NT. 490,https://photo.queenshop.com.tw/01098869/01098869-01.jpg,光澤荷葉邊綁帶細肩罩衫背心 選用質感光澤感面料有彈性的前綁帶設計 身型包容度高短版剪裁 修飾身型比例隨意搭配都日系可愛!,上衣,QueenShop,"['日系', '甜美']"
新季節春色棉質基礎上衣 八色售 S/M/L,200,NT. 290,https://photo.queenshop.com.tw/01039540/01039540-01.jpg,新季節春色棉質基礎上衣選用100%親膚的純棉面料基本圓領設計修飾臉部線條春季多色選擇多種尺寸百搭又實穿簡單搭配就好看時尚！,上衣,QueenShop,"['簡約', '休閒']"
細褶紋理寬版透膚襯衫 四色售,220,NT. 590,https://photo.queenshop.com.tw/01025513/01025513-01.jpg,細褶紋理寬版透膚襯衫 選用輕薄柔軟面料細膩紋理造型 增添整體質感透膚設計 打造春季清爽穿搭簡單搭配小外罩 打造日系層次穿搭,上衣,QueenShop,['日系']
棉花糖 撞色木耳邊蕾絲上衣 三色售M/L/XL,90,NT. 390,https://photo.queenshop.com.tw/01098976/01098976-01.jpg,棉花糖 撞色木耳邊蕾絲上衣選用輕柔細緻的親膚面料撞色點綴 增添活潑靈動氛圍木耳邊與蕾絲細節交織 展現甜美層次感搭配紗裙 展現日系俏皮感!,上衣,QueenShop,"['甜美', '日系']"
羽毛緹花後鏤空綁帶短洋裝 兩色售,300,NT. 590,https://photo.queenshop.com.tw/01086979/01086979-01.jpg,羽毛緹花後鏤空綁帶短洋裝 選用舒適親膚的混紡布料腰部抓皺設計 畫出腰線同時修飾下身線條後鏤空綁帶造型 讓整件衣服充滿設計巧思好別緻再外搭一件蕾絲罩衫 展現氣質甜美Look!,連身,QueenShop,"['甜美', '優雅']"
前中開衩洗舊感牛仔長裙 S/M/L,600,NT. 690,https://photo.queenshop.com.tw/03021474/03021474-99.jpg,前中開衩洗舊感牛仔長裙選用經典牛仔面料 舒適好看有挺度直筒版型 修飾下身線條前中開衩設計 方便活動又有型搭配針織上衣 展現優雅氣質Look!,下身,QueenShop,"['日系', '優雅']"
線條墨鏡小狗印圖短袖上衣 三色售,220,NT. 490,https://photo.queenshop.com.tw/01190217/01190217-11.jpg,線條墨鏡小狗印圖短袖上衣選用親膚柔軟純棉面料可愛墨鏡狗狗塗鴉寬鬆剪裁 穿上舒適有型簡單搭配就能輕鬆可愛出行,上衣,QueenShop,"['休閒', '甜美']"
側開岔小喇叭設計牛仔褲 S/S+/M/M+/L/L+,550,NT. 690,https://photo.queenshop.com.tw/04011611/04011611-99.jpg,側開岔小喇叭設計牛仔褲 重磅純棉面料具份量及彈性感修身喇叭褲型顯襯下身纖細特選+尺寸系列 版型不變褲長加長+尺寸落地長度率性修長各式腿長全都照顧到的實穿喇叭牛仔褲！,下身,QueenShop,"['復古', '休閒']"
立體緹花撞色木耳邊上衣 三色售,170,NT. 390,https://photo.queenshop.com.tw/01098833/01098833-01.jpg,立體緹花撞色木耳邊上衣選用柔軟親膚棉質面料撞色木耳邊設計 打造穿搭小亮點日系層次穿搭的必備單品簡單搭配洋裝單品 日感甜美系LOOK!,上衣,QueenShop,"['日系', '甜美']"
基礎素面插肩袖寬版短袖上衣 三色售,170,NT. 290,https://photo.queenshop.com.tw/01190205/01190205-01.jpg,基礎素面插肩袖寬版短袖上衣 選用透氣柔軟純棉面料寬版剪裁 合適所有身型素面設計 簡約大方搭配五分褲單品 打造中性時髦穿搭!,上衣,QueenShop,"['簡約', '休閒']"
涼感附Bra削肩合身背心 四色售 S/M/L,190,NT. 490,https://photo.queenshop.com.tw/01041916/01041916-01.jpg,涼感附Bra削肩合身背心選用舒適柔軟的純棉涼感面料削肩造型 修飾肩膀曲線附Bra設計 穿搭方便好貼心下身搭配褲裝 穿出個性甜辣風~,上衣,QueenShop,"['運動風', '甜美']"
立體波浪紋理造型高領上衣 五色售,170,NT. 390,https://photo.queenshop.com.tw/01098824/01098824-01.jpg,立體波浪紋理造型高領上衣 選用舒適柔軟的親膚面料立體波紋設計 增添整體立體感多色選擇 百搭款式內搭高領上衣 展現日系LOOK!,上衣,QueenShop,['日系']
立體毛感緹花透膚短袖上衣 三色售,120,NT. 290,https://photo.queenshop.com.tw/01098844/01098844-01.jpg,立體毛感緹花透膚短袖上衣選用柔軟親膚針織面料立體緹花造型 營造整體造型感若隱若現的透膚設計 增添穿搭清爽感搭配洋裝單品 打造時髦日系感穿搭!,上衣,QueenShop,"['日系', '優雅']"
復古水洗剪接低腰牛仔褲 S/M/L,720,NT. 690,https://photo.queenshop.com.tw/04011821/04011821-99.jpg,復古水洗剪接低腰牛仔褲選用100%的純棉面料復古水洗處理 展現美式街頭氛圍 剪接線條設計 修飾腿部線條搭配緊身針織上衣與長靴 營造率性隨興感,下身,QueenShop,"['復古', '街頭']"
基本素面羅紋圓領純棉短袖上衣 三色售,150,NT. 290,https://photo.queenshop.com.tw/01190207/01190207-01.jpg,基本素面羅紋圓領純棉短袖上衣選用柔軟親膚純棉面料素面羅紋造型 簡單搭配不無趣厚實面料有挺度 穿上質感有型簡單搭配褲裝 輕鬆又好看!,上衣,QueenShop,"['簡約', '休閒']"
剪接抓皺設計感透膚襯衫 三色售,100,NT. 590,https://photo.queenshop.com.tw/01025539/01025539-02.jpg,剪接抓皺設計感透膚襯衫選擇輕柔細緻的親膚面料剪接抓皺設計 創造穿搭小亮點透感造型 營造若隱若現的時尚氛圍搭配裙裝 打造甜美風穿搭LOOK!,上衣,QueenShop,"['甜美', '優雅']"
波浪羽毛緹花木耳上衣 三色售,100,NT. 390,https://photo.queenshop.com.tw/01098886/01098886-01.jpg,波浪羽毛緹花木耳上衣選用舒適柔軟親膚的混紡布料波浪羽毛緹花 增添視覺亮點與立體度木耳邊設計 甜美可愛氣息滿滿搭配褲裝與外套 展現日常休閒穿搭!,上衣,QueenShop,"['甜美', '休閒']"
素面坑條紋短版短袖上衣 八色售,130,NT. 290,https://photo.queenshop.com.tw/01190244/01190244-01.jpg,素面坑條紋短版短袖上衣選用親膚柔軟純棉面料多色設計 穿出多種風格簡約百搭的素面造型可單穿也可疊穿的時尚單品!,上衣,QueenShop,"['簡約', '休閒']"
撞色小花印圖剪接寬版上衣 兩色售,300,NT. 490,https://photo.queenshop.com.tw/01190206/01190206-04.jpg,撞色小花印圖剪接寬版上衣選用舒適有挺度的100%純棉布料寬版版型 不挑身形合適任何人撞色剪接與小花印圖 更顯青春活力下身搭配褲裝 展現俏皮可愛穿搭!,上衣,QueenShop,"['日系', '休閒']"
立體羽毛緹花造型長裙 三色售,270,NT. 690,https://photo.queenshop.com.tw/03021563/03021563-01.jpg,立體羽毛緹花造型長裙選用輕盈透氣的紗質布料內短外長設計 小露雙腿線條增添亮點羽毛緹花造型 讓穿搭立體度更升級上身搭配高領上衣 展現氣質優雅Look~,下身,QueenShop,['優雅']
復古牛仔寬版七分褲 兩色售 S/M/L,580,NT. 790,https://photo.queenshop.com.tw/04011828/04011828-01.jpg,復古牛仔寬版七分褲選用經典有挺度的牛仔布料七分版型 修飾身形比例寬版版型 合適任何身形上身搭配合身短版上衣 展現率性甜酷Look~,下身,QueenShop,"['復古', '休閒']"
涼感輕薄下擺抽繩連帽外套 三色售,260,NT. 690,https://photo.queenshop.com.tw/02071648/02071648-03.jpg,涼感輕薄下擺抽繩連帽外套 選用舒適透氣的涼感面料連帽設計 日常實穿有造型感下擺抽繩可依喜好調整輪廓適合夏季早晚溫差或旅行穿搭 輕巧便於收納,上衣,QueenShop,"['休閒', '戶外']"
休閒圓繩綁帶造型寬鬆長褲 兩色售 S/M,340,NT. 590,https://photo.queenshop.com.tw/04101939/04101939-01.jpg,休閒圓繩綁帶造型寬鬆長褲 選用舒適柔軟的親膚面料圓繩綁帶設計 修飾腰部線條結合了舒適與時尚 日常穿搭展現隨性風格搭配寬鬆背心和涼鞋 打造清新悠閒度假風!,下身,QueenShop,['休閒']
蕾絲緹花透膚高領上衣 三色售,130,NT. 390,https://photo.queenshop.com.tw/01098950/01098950-01.jpg,蕾絲緹花透膚高領上衣選用親膚蕾絲面料日系百搭的緹花高領上衣可打底也可單穿 時髦百搭!搭配洋裝單品 日系優雅穿搭LOOK!,上衣,QueenShop,"['日系', '優雅']"
噴漆花花印圖寬版短袖上衣 兩色售,320,NT. 490,https://photo.queenshop.com.tw/01190232/01190232-02.jpg,噴漆花花印圖寬版短袖上衣選用透氣舒適純棉面料撞色花花印圖 增添穿搭造型感寬版剪裁 合適所有身型!內加透膚上衣 打造經典日系穿搭!,上衣,QueenShop,"['日系', '休閒']"
涼感Love letters 印字短袖上衣 兩色售,230,NT. 390,https://photo.queenshop.com.tw/01190227/01190227-01.jpg,涼感Love letters 印字設計短袖上衣 選用柔軟透氣涼感面料獨特涼感設計 夏日清爽無負擔可愛印字 增添穿搭小亮點寬鬆版型 合適所有身型!,上衣,QueenShop,"['休閒', '甜美']"
簡約拼色造型針織背心 六色售,130,NT. 290,https://photo.queenshop.com.tw/01150458/01150458-01.jpg,簡約拼色造型針織背心 選用舒適親膚的針織面料拼色設計巧妙點綴細節 低調卻不無聊共有六色可選 無論是日常百搭的基本色搭配高腰牛仔褲＋球鞋 展現輕鬆率性感,上衣,QueenShop,"['簡約', '休閒']"
多層荷葉剪接蛋糕長裙 兩色售,510,NT. 790,https://photo.queenshop.com.tw/03021523/03021523-03.jpg,多層荷葉剪接蛋糕長裙選用輕盈舒適的親膚面料全鬆緊腰頭 合適任何身型多層荷葉剪接 增添造型立體度搭配緹花高領 展現氣質甜美穿搭!,下身,QueenShop,"['甜美', '優雅']"
多層荷葉抽皺背心罩衫 四色售,120,NT. 590,https://photo.queenshop.com.tw/01098916/01098916-01.jpg,多層荷葉抽皺背心罩衫選用輕盈有飄逸感的網紗面料肩帶調節釦設計 可自由調整至舒適長度胸前多層荷葉抽皺 讓造型立體度滿滿搭配高領上衣與裙裝 展現日系多層次穿搭~,上衣,QueenShop,['日系']
簡約素面綁帶兩穿罩衫 四色售,120,NT. 590,https://photo.queenshop.com.tw/01098804/01098804-01.jpg,簡約素面綁帶兩穿罩衫選用飄逸輕盈的網紗面料可調式肩帶與綁帶開襟設計 合適任何身型素面四色 每一色都百搭又實穿內搭褲裝或裙裝都好看又有型!,上衣,QueenShop,"['簡約', '休閒']"
蕾絲鏤空排釦造型罩衫背心,100,NT. 390,https://photo.queenshop.com.tw/01099018/01099018-99.jpg,蕾絲鏤空排釦造型罩衫背心選用舒適輕透的蕾絲面料蕾絲點綴日常穿搭 輕透優雅增添層次感前排釦設計提供多種穿法內搭細肩帶＋高腰長裙 展現浪漫LOOK!,上衣,QueenShop,"['優雅', '甜美']"
細褶直紋澎袖傘擺短袖上衣 兩色售,200,NT. 490,https://photo.queenshop.com.tw/01098984/01098984-06.jpg,細褶直紋澎袖傘擺短袖上衣選用透氣舒適純棉面料下擺傘擺設計 日系甜美感十足澎袖造型 增添穿搭造型度搭配紗紗背心 打造日系層次穿搭!,上衣,QueenShop,"['日系', '甜美']"
小花透膚綁帶短版罩衫背心,100,NT. 390,https://photo.queenshop.com.tw/01098964/01098964-99.jpg,小花透膚綁帶短版罩衫背心選用輕盈透氣的網紗布料滿版小花緹花 亮眼又充滿少女氣息肩帶綁帶設計 可以自由調整長度又有立體度內搭素面背心 展現夏日甜美度假風!,上衣,QueenShop,"['甜美', '休閒']"
剪接透膚設計網紗短袖上衣 四色售,70,NT. 490,https://photo.queenshop.com.tw/01098774/01098774-01.jpg,剪接透膚設計網紗短袖上衣 選用柔軟網紗面料剪接設計 單穿不無趣多色設計 打造多種風格穿搭簡單疊穿就日系有型!,上衣,QueenShop,"['日系', '甜美']"
緹花紋理透紗細肩長洋裝 兩色售,420,NT. 790,https://photo.queenshop.com.tw/01086959/01086959-01.jpg,緹花紋理透紗細肩長洋裝選用舒適柔軟的親膚面料緹花紋理設計 增添精緻質感可調節式肩帶 更加貼心舒適搭配針織罩衫 營造溫柔文藝LOOK!,連身,QueenShop,"['優雅', '甜美']"
荷葉邊設計皺皺紋理蛋糕長裙 兩色售 S/M,460,NT. 690,https://photo.queenshop.com.tw/03021451/03021451-01.jpg,荷葉邊設計皺皺紋理蛋糕長裙選用親膚柔軟的舒適面料皺皺紋理布料 讓視覺份量更豐富荷葉邊設計簡單穿出多層次造型全鬆緊腰頭穿脫自在方便簡單搭配穿出日系復古LOOK!,下身,QueenShop,"['日系', '復古']"
立體泡泡後開衩直筒長裙 四色售,260,NT. 690,https://photo.queenshop.com.tw/03021583/03021583-01.jpg,立體泡泡後開衩直筒長裙選用舒適有彈性的親膚布料直筒版型 修飾雙腿線條後開衩設計 方便活動又有型搭配透紗長版罩衫 展現可愛甜美Look~,下身,QueenShop,['甜美']
質感小格紋造型短版上衣 四色售,150,NT. 390,https://photo.queenshop.com.tw/01098777/01098777-01.jpg,質感小格紋造型短版上衣選用舒適柔軟的親膚面料精緻小格紋造型 細節滿滿短版版型 巧妙拉長身型比例搭配牛仔裙 打造日常休閒穿搭!,上衣,QueenShop,"['日系', '休閒']"
前胸細褶造型傘襬細肩背心 四色售,130,NT. 490,https://photo.queenshop.com.tw/01098980/01098980-01.jpg,前胸細褶造型傘襬細肩背心選用舒適輕透的親膚面料前胸細褶設計 增添精緻細節 傘襬剪裁自然營造輕盈飄逸的氛圍內搭粗肩背心或單穿 都甜美隨性兼具魅力,上衣,QueenShop,"['甜美', '休閒']"
鏤空蕾絲花邊細肩長洋裝 三色售,370,NT. 790,https://photo.queenshop.com.tw/01086957/01086957-01.jpg,鏤空蕾絲花邊細肩長洋裝選用親膚柔軟面料下擺若隱若現的蕾絲紋理設計附有貼心內裡與可調式肩帶簡單搭配就能打造日系溫柔感穿搭!,連身,QueenShop,"['日系', '優雅']"
棉花糖 蝴蝶結透紗細肩罩衫 兩色售M/L/XL,150,NT. 890,https://photo.queenshop.com.tw/01098941/01098941-01.jpg,棉花糖 蝴蝶結細肩帶罩衫 選用輕柔細緻的親膚面料透紗蝴蝶結造型 增添日系層次感可調節肩帶 自由調整長度內搭木耳邊上衣 展現甜美俏皮感!,上衣,QueenShop,"['日系', '甜美']"
前綁帶緹花鏤空針織短外套 兩色售,200,NT. 590,https://photo.queenshop.com.tw/02071651/02071651-03.jpg,前綁帶緹花鏤空針織短外套 選用舒適親膚的針織面料細緻的緹花設計 營造輕盈層次感前綁帶造型 增添整體造型更加精緻搭配簡單洋裝 輕鬆打造清新悠閒的度假風格！,上衣,QueenShop,"['日系', '甜美']"
透紗雙層剪接寬版上衣 三色售,270,NT. 590,https://photo.queenshop.com.tw/01098856/01098856-01.jpg,透紗雙層剪接寬版上衣選用舒適柔軟親膚的混紡布料寬版版型 不挑身形合適任何人網紗雙層剪接設計 單穿就有層次感搭配裙裝與腰鍊 展現日系別緻穿搭!,上衣,QueenShop,"['日系', '休閒']"
簡約素面棉感圓領上衣 七色售,180,NT. 390,https://photo.queenshop.com.tw/01190108/01190108-01.jpg,簡約素面棉感圓領上衣選用柔軟親膚的混紡面料微磨毛棉感設計 在微涼的秋日也舒適素面造型 七色都百搭實穿搭配褲裝或裙裝都簡約好看!,上衣,QueenShop,"['簡約', '休閒']"
涼感素面前口袋落肩短袖上衣 五色售,220,NT. 390,https://photo.queenshop.com.tw/01190228/01190228-01.jpg,涼感素面前口袋落肩短袖上衣選用柔軟親膚涼感面料獨特涼感設計 夏日穿搭也清爽有型不限身型的寬版素面TEE造型 簡單搭配褲裝 打造率性休閒穿搭!,上衣,QueenShop,"['休閒', '簡約']"
荷葉邊抽皺綁帶設計長洋裝 三色售,590,NT. 790,https://photo.queenshop.com.tw/01086969/01086969-01.jpg,荷葉邊抽皺綁帶設計長洋裝選用舒適柔軟的親膚面料綁帶調整長度設計 細節滿滿荷葉邊肩帶造型 增添整體立體感內搭透膚上衣 展現日系感!,連身,QueenShop,"['日系', '甜美']"
